'Time and date','ECG','BP','EEG (C3-O1)','Resp (nasal)'
'[23:16:10.696 09/02/1989]',0.076,156.295,0.045,-0.031
'[23:16:10.700 09/02/1989]',0.082,154.918,0.040,-0.045
'[23:16:10.704 09/02/1989]',0.112,152.853,0.040,-0.043
'[23:16:10.708 09/02/1989]',0.102,151.705,0.038,-0.029
'[23:16:10.712 09/02/1989]',0.110,149.639,0.040,-0.038
'[23:16:10.716 09/02/1989]',0.110,147.115,0.036,-0.036
'[23:16:10.720 09/02/1989]',0.090,144.361,0.038,-0.040
'[23:16:10.724 09/02/1989]',0.082,142.984,0.035,-0.036
'[23:16:10.728 09/02/1989]',0.116,139.771,0.033,-0.033
'[23:16:10.732 09/02/1989]',0.072,137.475,0.030,-0.045
'[23:16:10.736 09/02/1989]',0.068,134.721,0.031,-0.036
'[23:16:10.740 09/02/1989]',0.050,132.197,0.026,-0.038
'[23:16:10.744 09/02/1989]',0.056,130.131,0.031,-0.036
'[23:16:10.748 09/02/1989]',0.050,127.607,0.027,-0.038
'[23:16:10.752 09/02/1989]',0.050,125.082,0.031,-0.038
'[23:16:10.756 09/02/1989]',0.078,122.787,0.029,-0.033
'[23:16:10.760 09/02/1989]',0.086,120.721,0.027,-0.029
'[23:16:10.764 09/02/1989]',0.088,119.344,0.029,-0.031
'[23:16:10.768 09/02/1989]',0.056,118.197,0.024,-0.029
'[23:16:10.772 09/02/1989]',0.072,117.508,0.027,-0.038
'[23:16:10.776 09/02/1989]',0.086,116.590,0.025,-0.029
'[23:16:10.780 09/02/1989]',0.072,116.131,0.025,-0.033
'[23:16:10.784 09/02/1989]',0.058,115.902,0.027,-0.021
'[23:16:10.788 09/02/1989]',0.042,116.361,0.026,-0.031
'[23:16:10.792 09/02/1989]',0.088,115.902,0.027,-0.026
'[23:16:10.796 09/02/1989]',0.082,116.590,0.026,-0.036
'[23:16:10.800 09/02/1989]',0.104,117.049,0.026,-0.031
'[23:16:10.804 09/02/1989]',0.068,118.426,0.020,-0.043
'[23:16:10.808 09/02/1989]',0.062,119.344,0.020,-0.038
'[23:16:10.812 09/02/1989]',0.054,119.803,0.020,-0.036
'[23:16:10.816 09/02/1989]',0.058,120.951,0.017,-0.038
'[23:16:10.820 09/02/1989]',0.078,121.639,0.018,-0.036
'[23:16:10.824 09/02/1989]',0.110,121.639,0.019,-0.038
'[23:16:10.828 09/02/1989]',0.110,123.016,0.025,-0.029
'[23:16:10.832 09/02/1989]',0.096,123.016,0.024,-0.029
'[23:16:10.836 09/02/1989]',0.100,123.935,0.031,-0.024
'[23:16:10.840 09/02/1989]',0.110,123.705,0.035,-0.021
'[23:16:10.844 09/02/1989]',0.118,124.164,0.038,-0.017
'[23:16:10.848 09/02/1989]',0.128,124.853,0.036,-0.019
'[23:16:10.852 09/02/1989]',0.168,125.082,0.040,-0.010
'[23:16:10.856 09/02/1989]',0.144,125.541,0.040,-0.010
'[23:16:10.860 09/02/1989]',0.164,124.623,0.038,-0.005
'[23:16:10.864 09/02/1989]',0.192,124.623,0.042,-0.000
'[23:16:10.868 09/02/1989]',0.182,124.623,0.039,-0.000
'[23:16:10.872 09/02/1989]',0.158,124.623,0.036,0.002
'[23:16:10.876 09/02/1989]',0.172,123.705,0.035,0.014
'[23:16:10.880 09/02/1989]',0.198,123.016,0.034,0.019
'[23:16:10.884 09/02/1989]',0.194,122.787,0.036,0.024
'[23:16:10.888 09/02/1989]',0.232,121.869,0.030,0.031
'[23:16:10.892 09/02/1989]',0.218,121.639,0.028,0.038
'[23:16:10.896 09/02/1989]',0.272,120.951,0.026,0.043
'[23:16:10.900 09/02/1989]',0.240,119.574,0.021,0.055
'[23:16:10.904 09/02/1989]',0.200,119.344,0.018,0.057
'[23:16:10.908 09/02/1989]',0.246,119.115,0.017,0.057
'[23:16:10.912 09/02/1989]',0.216,119.115,0.014,0.067
'[23:16:10.916 09/02/1989]',0.178,117.967,0.013,0.071
'[23:16:10.920 09/02/1989]',0.128,116.820,0.011,0.081
'[23:16:10.924 09/02/1989]',0.138,116.131,0.009,0.083
'[23:16:10.928 09/02/1989]',0.020,115.672,0.008,0.093
'[23:16:10.932 09/02/1989]',0.046,114.754,0.008,0.097
'[23:16:10.936 09/02/1989]',0.034,113.836,0.004,0.102
'[23:16:10.940 09/02/1989]',0.056,112.689,0.009,0.109
'[23:16:10.944 09/02/1989]',0.008,112.230,0.008,0.116
'[23:16:10.948 09/02/1989]',0.026,112.000,0.009,0.116
'[23:16:10.952 09/02/1989]',0.048,111.082,0.010,0.128
'[23:16:10.956 09/02/1989]',-0.018,110.164,0.010,0.133
'[23:16:10.960 09/02/1989]',0.010,109.475,0.013,0.143
'[23:16:10.964 09/02/1989]',-0.016,108.787,0.014,0.145
'[23:16:10.968 09/02/1989]',0.038,108.557,0.017,0.152
'[23:16:10.972 09/02/1989]',0.018,107.869,0.013,0.162
'[23:16:10.976 09/02/1989]',0.056,107.410,0.012,0.162
'[23:16:10.980 09/02/1989]',-0.016,107.180,0.014,0.162
'[23:16:10.984 09/02/1989]',0.042,107.180,0.011,0.178
'[23:16:10.988 09/02/1989]',-0.016,106.721,0.012,0.176
'[23:16:10.992 09/02/1989]',0.046,105.115,0.013,0.183
'[23:16:10.996 09/02/1989]',-0.024,105.574,0.015,0.188
'[23:16:11.000 09/02/1989]',0.016,105.574,0.016,0.183
'[23:16:11.004 09/02/1989]',-0.028,105.115,0.017,0.190
'[23:16:11.008 09/02/1989]',-0.014,104.197,0.019,0.202
'[23:16:11.012 09/02/1989]',-0.020,104.656,0.018,0.200
'[23:16:11.016 09/02/1989]',-0.068,104.656,0.015,0.202
'[23:16:11.020 09/02/1989]',-0.078,103.279,0.018,0.211
'[23:16:11.024 09/02/1989]',-0.028,103.967,0.014,0.214
'[23:16:11.028 09/02/1989]',0.116,103.279,0.014,0.221
'[23:16:11.032 09/02/1989]',0.504,103.738,0.009,0.219
'[23:16:11.036 09/02/1989]',0.902,103.508,0.009,0.226
'[23:16:11.040 09/02/1989]',1.314,103.279,0.009,0.233
'[23:16:11.044 09/02/1989]',1.538,103.508,0.011,0.233
'[23:16:11.048 09/02/1989]',1.668,103.049,0.008,0.235
'[23:16:11.052 09/02/1989]',1.132,103.738,0.011,0.238
'[23:16:11.056 09/02/1989]',0.808,103.738,0.009,0.238
'[23:16:11.060 09/02/1989]',0.360,103.738,0.011,0.238
'[23:16:11.064 09/02/1989]',-0.202,104.197,0.011,0.240
'[23:16:11.068 09/02/1989]',-0.420,103.738,0.011,0.247
'[23:16:11.072 09/02/1989]',-0.648,103.508,0.011,0.242
'[23:16:11.076 09/02/1989]',-0.796,103.049,0.014,0.247
'[23:16:11.080 09/02/1989]',-0.804,103.279,0.016,0.257
'[23:16:11.084 09/02/1989]',-0.694,102.590,0.019,0.257
'[23:16:11.088 09/02/1989]',-0.490,102.820,0.022,0.259
'[23:16:11.092 09/02/1989]',-0.372,102.590,0.025,0.266
'[23:16:11.096 09/02/1989]',-0.196,102.131,0.023,0.261
'[23:16:11.100 09/02/1989]',-0.098,102.820,0.020,0.271
'[23:16:11.104 09/02/1989]',-0.070,102.131,0.019,0.271
'[23:16:11.108 09/02/1989]',-0.032,101.902,0.018,0.276
'[23:16:11.112 09/02/1989]',-0.040,101.443,0.019,0.283
'[23:16:11.116 09/02/1989]',-0.062,101.213,0.015,0.280
'[23:16:11.120 09/02/1989]',-0.070,100.525,0.017,0.285
'[23:16:11.124 09/02/1989]',-0.042,100.525,0.015,0.287
'[23:16:11.128 09/02/1989]',-0.038,100.066,0.014,0.285
'[23:16:11.132 09/02/1989]',-0.038,99.836,0.015,0.290
'[23:16:11.136 09/02/1989]',-0.028,98.918,0.016,0.297
'[23:16:11.140 09/02/1989]',0.014,99.148,0.016,0.297
'[23:16:11.144 09/02/1989]',-0.006,98.918,0.014,0.302
'[23:16:11.148 09/02/1989]',-0.022,97.771,0.014,0.304
'[23:16:11.152 09/02/1989]',-0.022,97.541,0.014,0.302
'[23:16:11.156 09/02/1989]',-0.012,97.312,0.017,0.309
'[23:16:11.160 09/02/1989]',0.002,96.394,0.019,0.314
'[23:16:11.164 09/02/1989]',-0.014,96.394,0.019,0.311
'[23:16:11.168 09/02/1989]',0.024,95.475,0.018,0.311
'[23:16:11.172 09/02/1989]',0.008,95.475,0.020,0.316
'[23:16:11.176 09/02/1989]',0.026,95.475,0.019,0.323
'[23:16:11.180 09/02/1989]',-0.022,95.246,0.022,0.318
'[23:16:11.184 09/02/1989]',0.024,95.246,0.025,0.323
'[23:16:11.188 09/02/1989]',-0.000,94.787,0.025,0.318
'[23:16:11.192 09/02/1989]',0.040,94.557,0.029,0.325
'[23:16:11.196 09/02/1989]',0.046,94.557,0.033,0.321
'[23:16:11.200 09/02/1989]',0.036,94.557,0.036,0.325
'[23:16:11.204 09/02/1989]',0.054,94.557,0.042,0.325
'[23:16:11.208 09/02/1989]',0.030,94.328,0.044,0.330
'[23:16:11.212 09/02/1989]',0.072,94.557,0.052,0.328
'[23:16:11.216 09/02/1989]',0.040,94.557,0.049,0.328
'[23:16:11.220 09/02/1989]',0.042,95.475,0.053,0.323
'[23:16:11.224 09/02/1989]',0.082,96.394,0.055,0.330
'[23:16:11.228 09/02/1989]',0.050,97.312,0.060,0.330
'[23:16:11.232 09/02/1989]',0.022,99.148,0.060,0.333
'[23:16:11.236 09/02/1989]',0.060,101.443,0.066,0.333
'[23:16:11.240 09/02/1989]',0.084,104.197,0.069,0.333
'[23:16:11.244 09/02/1989]',0.078,107.410,0.072,0.333
'[23:16:11.248 09/02/1989]',0.074,110.853,0.074,0.335
'[23:16:11.252 09/02/1989]',0.098,114.754,0.078,0.337
'[23:16:11.256 09/02/1989]',0.116,119.115,0.080,0.342
'[23:16:11.260 09/02/1989]',0.104,123.935,0.077,0.342
'[23:16:11.264 09/02/1989]',0.078,128.295,0.081,0.342
'[23:16:11.268 09/02/1989]',0.102,133.115,0.083,0.342
'[23:16:11.272 09/02/1989]',0.080,138.623,0.083,0.340
'[23:16:11.276 09/02/1989]',0.082,142.984,0.085,0.342
'[23:16:11.280 09/02/1989]',0.078,147.803,0.083,0.347
'[23:16:11.284 09/02/1989]',0.074,152.623,0.085,0.352
'[23:16:11.288 09/02/1989]',0.102,156.754,0.085,0.354
'[23:16:11.292 09/02/1989]',0.084,161.344,0.086,0.352
'[23:16:11.296 09/02/1989]',0.120,164.098,0.087,0.352
'[23:16:11.300 09/02/1989]',0.130,168.000,0.086,0.354
'[23:16:11.304 09/02/1989]',0.096,170.525,0.085,0.349
'[23:16:11.308 09/02/1989]',0.118,172.590,0.084,0.359
'[23:16:11.312 09/02/1989]',0.126,174.426,0.083,0.349
'[23:16:11.316 09/02/1989]',0.114,175.344,0.076,0.356
'[23:16:11.320 09/02/1989]',0.130,175.344,0.076,0.356
'[23:16:11.324 09/02/1989]',0.096,175.344,0.071,0.361
'[23:16:11.328 09/02/1989]',0.144,175.803,0.066,0.352
'[23:16:11.332 09/02/1989]',0.136,175.115,0.059,0.352
'[23:16:11.336 09/02/1989]',0.116,174.426,0.056,0.356
'[23:16:11.340 09/02/1989]',0.100,173.738,0.047,0.352
'[23:16:11.344 09/02/1989]',0.132,172.361,0.045,0.354
'[23:16:11.348 09/02/1989]',0.144,171.213,0.039,0.347
'[23:16:11.352 09/02/1989]',0.116,169.607,0.035,0.356
'[23:16:11.356 09/02/1989]',0.104,168.000,0.031,0.361
'[23:16:11.360 09/02/1989]',0.140,166.164,0.029,0.359
'[23:16:11.364 09/02/1989]',0.106,165.017,0.024,0.366
'[23:16:11.368 09/02/1989]',0.126,164.098,0.023,0.352
'[23:16:11.372 09/02/1989]',0.110,162.492,0.022,0.354
'[23:16:11.376 09/02/1989]',0.114,160.656,0.020,0.354
'[23:16:11.380 09/02/1989]',0.140,159.738,0.017,0.352
'[23:16:11.384 09/02/1989]',0.114,158.131,0.014,0.363
'[23:16:11.388 09/02/1989]',0.084,156.984,0.018,0.361
'[23:16:11.392 09/02/1989]',0.122,155.148,0.018,0.363
'[23:16:11.396 09/02/1989]',0.066,155.148,0.020,0.352
'[23:16:11.400 09/02/1989]',0.080,154.230,0.021,0.361
'[23:16:11.404 09/02/1989]',0.042,153.312,0.020,0.361
'[23:16:11.408 09/02/1989]',0.062,152.394,0.020,0.356
'[23:16:11.412 09/02/1989]',0.080,151.476,0.022,0.356
'[23:16:11.416 09/02/1989]',0.004,150.787,0.019,0.354
'[23:16:11.420 09/02/1989]',0.058,149.639,0.022,0.361
'[23:16:11.424 09/02/1989]',0.028,149.639,0.022,0.359
'[23:16:11.428 09/02/1989]',0.094,148.951,0.022,0.361
'[23:16:11.432 09/02/1989]',0.066,148.262,0.018,0.349
'[23:16:11.436 09/02/1989]',0.048,146.426,0.017,0.361
'[23:16:11.440 09/02/1989]',0.102,146.885,0.017,0.352
'[23:16:11.444 09/02/1989]',0.018,145.279,0.011,0.361
'[23:16:11.448 09/02/1989]',0.048,144.361,0.016,0.361
'[23:16:11.452 09/02/1989]',0.054,143.213,0.008,0.361
'[23:16:11.456 09/02/1989]',0.044,142.525,0.006,0.363
'[23:16:11.460 09/02/1989]',0.048,140.689,0.005,0.361
'[23:16:11.464 09/02/1989]',0.080,139.312,0.003,0.363
'[23:16:11.468 09/02/1989]',0.106,137.475,0.003,0.363
'[23:16:11.472 09/02/1989]',0.096,135.639,-0.002,0.366
'[23:16:11.476 09/02/1989]',0.070,133.803,-0.000,0.361
'[23:16:11.480 09/02/1989]',0.040,131.279,-0.001,0.363
'[23:16:11.484 09/02/1989]',0.086,129.443,-0.005,0.361
'[23:16:11.488 09/02/1989]',0.032,126.689,-0.011,0.359
'[23:16:11.492 09/02/1989]',0.068,124.623,-0.012,0.352
'[23:16:11.496 09/02/1989]',0.066,122.787,-0.012,0.352
'[23:16:11.500 09/02/1989]',0.064,121.180,-0.015,0.361
'[23:16:11.504 09/02/1989]',0.092,118.426,-0.016,0.352
'[23:16:11.508 09/02/1989]',0.062,116.131,-0.015,0.359
'[23:16:11.512 09/02/1989]',0.088,114.066,-0.015,0.361
'[23:16:11.516 09/02/1989]',0.084,112.918,-0.018,0.352
'[23:16:11.520 09/02/1989]',0.060,112.000,-0.018,0.352
'[23:16:11.524 09/02/1989]',0.072,111.082,-0.020,0.359
'[23:16:11.528 09/02/1989]',0.074,110.394,-0.022,0.356
'[23:16:11.532 09/02/1989]',0.064,109.246,-0.022,0.366
'[23:16:11.536 09/02/1989]',0.104,109.934,-0.022,0.368
'[23:16:11.540 09/02/1989]',0.122,110.164,-0.022,0.359
'[23:16:11.544 09/02/1989]',0.076,110.164,-0.025,0.363
'[23:16:11.548 09/02/1989]',0.082,110.853,-0.025,0.359
'[23:16:11.552 09/02/1989]',0.090,111.771,-0.025,0.356
'[23:16:11.556 09/02/1989]',0.066,112.918,-0.025,0.356
'[23:16:11.560 09/02/1989]',0.056,113.377,-0.028,0.356
'[23:16:11.564 09/02/1989]',0.096,114.295,-0.024,0.366
'[23:16:11.568 09/02/1989]',0.152,114.295,-0.026,0.352
'[23:16:11.572 09/02/1989]',0.140,115.672,-0.027,0.359
'[23:16:11.576 09/02/1989]',0.144,116.131,-0.029,0.361
'[23:16:11.580 09/02/1989]',0.102,117.279,-0.031,0.368
